id,soilmoisture,temperature,airhumidity,lightlevel,waterlevel,irrigationamount,timestamp,clientid
113,16,28.6,29,11,0,0,2024-03-23 19:32:07.731801,SmartPlanter2Test
114,16,28.5,31,1,0,0,2024-03-23 20:00:44.916334,SmartPlanter2Test
115,16,28.4,34,9,0,0,2024-03-23 20:29:22.528055,SmartPlanter2Test
116,16,28.5,34,8,0,0,2024-03-23 20:57:59.251875,SmartPlanter2Test
117,16,28.8,34,1,0,0,2024-03-23 21:26:49.2493,SmartPlanter2Test
118,16,28.7,34,1,0,0,2024-03-23 21:55:28.562337,SmartPlanter2Test
119,16,28.7,33,1,0,0,2024-03-23 22:24:05.548691,SmartPlanter2Test
120,16,28.4,33,1,0,0,2024-03-23 22:52:41.250195,SmartPlanter2Test
121,17,28.2,32,1,0,0,2024-03-23 23:21:27.271513,SmartPlanter2Test
122,17,28.1,32,1,0,0,2024-03-23 23:50:01.803902,SmartPlanter2Test
123,17,28.1,32,1,0,0,2024-03-24 00:18:37.850714,SmartPlanter2Test
124,17,27.9,32,1,0,0,2024-03-24 00:47:14.669979,SmartPlanter2Test
125,17,27.8,32,1,0,0,2024-03-24 01:16:02.353363,SmartPlanter2Test
126,17,27.7,32,1,0,0,2024-03-24 01:44:35.621067,SmartPlanter2Test
127,17,27.6,32,1,0,0,2024-03-24 02:13:13.225497,SmartPlanter2Test
128,17,27.6,32,1,0,0,2024-03-24 02:41:56.012181,SmartPlanter2Test
129,17,27.6,32,1,0,0,2024-03-24 03:10:36.460708,SmartPlanter2Test
130,17,27.5,32,1,0,0,2024-03-24 03:39:08.083956,SmartPlanter2Test
131,17,27.5,32,1,0,0,2024-03-24 04:07:49.409257,SmartPlanter2Test
132,17,27.4,32,1,0,0,2024-03-24 04:36:30.941225,SmartPlanter2Test
133,16,27.4,33,1,0,0,2024-03-24 05:05:07.953033,SmartPlanter2Test
134,17,27.4,34,1,0,0,2024-03-24 05:33:54.360389,SmartPlanter2Test
135,16,27.5,34,1,0,0,2024-03-24 06:02:29.107038,SmartPlanter2Test
136,16,27.5,35,1,0,0,2024-03-24 06:31:05.618259,SmartPlanter2Test
137,16,27.5,35,1,0,0,2024-03-24 06:59:50.54186,SmartPlanter2Test
138,16,27.5,35,1,0,0,2024-03-24 07:28:27.465201,SmartPlanter2Test
139,16,27.4,36,1,0,0,2024-03-24 07:57:02.576573,SmartPlanter2Test
140,16,27.5,36,1,0,0,2024-03-24 08:25:44.302235,SmartPlanter2Test
141,16,27.5,36,1,0,0,2024-03-24 08:54:22.041914,SmartPlanter2Test
142,16,27.5,36,1,0,0,2024-03-24 09:23:00.666324,SmartPlanter2Test
143,16,27.5,37,1,0,0,2024-03-24 09:51:38.437358,SmartPlanter2Test
144,16,27.5,37,1,0,0,2024-03-24 10:20:26.793628,SmartPlanter2Test
